account_age_months,monthly_charges,subscription_tier,support_calls,reported_issues,inactive_days,usage_decline,competitor_offer,promotion_response,contract_type,payment_method,online_security,tech_support,churn
21,69.29,3,6,2,19,10.6,0,0,1,0,1,1,0
28,49.88,3,7,3,20,27.3,1,1,1,0,1,0,0
46,66.78,2,5,2,20,7.3,1,0,0,3,1,0,1
22,51.77,3,4,2,19,11.8,0,0,1,0,1,1,0
35,69.71,2,5,3,13,18.8,0,0,0,0,0,0,0
24,100.43,1,3,4,14,37.1,1,1,0,2,1,1,1
25,66.82,3,6,3,15,15.9,0,0,1,3,0,1,0
27,69.76,2,5,3,17,13.5,0,1,1,2,0,1,0
26,73.55,3,5,2,21,16.5,0,1,0,3,0,1,1
33,64.64,2,7,3,14,23.0,0,0,2,1,1,0,0
49,74.37,1,2,2,15,15.7,1,1,0,0,0,1,1
38,65.72,1,4,3,22,-2.3,1,1,0,2,0,0,1
33,63.59,2,6,4,18,16.7,0,0,2,0,1,0,0
31,70.1,1,2,2,7,12.0,0,0,1,2,1,0,0
24,80.93,3,9,2,9,8.1,0,0,2,3,1,0,0
17,67.09,3,7,3,13,9.4,0,0,1,2,0,0,0
39,84.54,2,3,2,18,7.0,1,1,0,0,0,1,1
29,68.44,3,8,2,16,17.0,1,0,2,2,1,1,0
44,68.49,1,4,2,9,26.6,1,0,0,0,0,0,1
36,85.71,1,5,3,19,12.3,0,1,0,0,0,1,1
34,84.88,1,6,3,20,23.1,0,1,1,1,0,0,1
34,32.74,3,5,3,9,29.3,1,1,0,0,1,1,0
27,75.14,2,4,2,15,13.6,0,0,0,0,0,0,0
37,71.78,2,5,2,17,25.2,1,0,0,0,0,1,1
20,72.94,2,5,2,13,15.1,0,0,0,0,0,1,0
34,75.21,1,4,3,14,14.7,1,1,1,3,0,1,1
24,78.22,2,7,2,14,13.0,0,1,1,0,0,1,0
24,70.57,3,6,3,14,11.3,0,1,0,2,0,1,0
30,87.96,1,5,3,13,6.8,0,0,0,3,1,0,0
32,83.93,2,5,3,9,27.7,1,1,0,2,0,0,1
24,42.41,2,3,2,13,20.4,0,0,0,2,1,1,0
35,70.23,2,5,2,13,22.3,0,1,0,0,1,1,0
27,65.58,3,5,2,8,19.1,1,0,0,2,0,0,0
38,57.08,2,4,2,15,30.8,1,1,1,1,0,0,0
35,56.83,3,6,3,15,23.8,0,0,0,3,1,1,0
37,57.84,3,4,2,21,19.9,0,1,0,2,1,0,0
29,64.37,2,5,3,18,26.0,0,1,1,2,0,0,0
42,75.88,1,6,3,17,15.9,0,1,0,2,1,1,1
42,85.67,2,5,3,13,22.4,1,1,0,0,1,0,1
32,59.77,3,4,2,16,21.5,0,1,0,3,1,1,0
41,74.26,2,4,2,12,20.8,1,1,0,2,0,1,1
35,75.65,1,4,3,15,7.0,1,0,0,0,0,1,1
37,73.68,1,3,2,19,16.7,1,0,0,0,0,0,1
34,57.86,3,5,3,20,15.8,0,0,0,2,0,0,0
37,58.71,1,5,2,13,4.0,1,0,0,0,0,0,1
30,71.57,2,4,1,18,21.6,0,1,0,1,1,0,0
24,64.06,3,6,2,15,11.8,0,1,1,3,1,0,0
27,58.22,3,4,3,13,14.2,0,1,1,0,0,0,0
35,69.74,3,5,2,17,18.4,1,0,0,1,0,1,1
40,57.86,1,2,2,14,6.2,1,0,0,3,1,1,1
32,80.44,2,6,2,15,15.7,1,0,1,0,1,1,0
45,71.4,1,6,2,7,5.9,1,1,0,3,0,0,1
40,98.15,1,5,3,10,27.2,0,0,0,2,0,1,1
31,69.83,2,5,2,17,17.9,1,0,0,0,1,0,0
24,54.41,3,4,3,20,15.1,0,1,0,0,0,0,0
18,72.02,3,7,2,11,10.5,0,0,1,3,1,0,0
39,67.88,2,5,2,12,6.0,1,1,2,0,1,1,1
14,72.99,2,6,4,20,11.2,0,1,1,3,1,0,0
27,69.6,2,5,3,25,7.2,0,0,1,2,1,0,0
40,81.35,1,6,3,15,15.1,0,1,0,0,0,1,1
36,64.07,1,4,2,16,2.7,1,1,0,2,0,1,1
32,75.71,2,5,2,21,19.8,1,0,0,3,1,1,0
35,91.82,1,3,2,10,23.9,1,0,0,2,1,0,1
31,104.08,1,4,3,16,34.1,1,0,0,2,1,1,1
31,67.87,2,6,3,20,24.0,0,1,0,2,1,0,0
41,80.44,2,6,2,19,12.5,1,1,0,0,0,0,0
50,77.19,1,4,2,12,29.0,0,0,1,0,1,1,1
43,84.92,1,3,2,12,22.5,1,0,0,1,0,0,1
30,57.21,3,5,3,18,22.4,0,0,0,0,0,0,0
35,75.23,3,5,2,16,13.3,1,0,1,0,0,1,1
16,65.31,3,7,3,15,3.9,0,0,2,2,0,1,0
32,59.7,3,4,2,17,25.5,0,0,1,1,1,1,0
32,65.21,2,6,2,13,20.3,1,0,2,0,0,0,0
34,59.44,2,5,2,14,9.3,1,0,0,1,0,0,1
26,51.91,3,5,3,14,18.7,0,0,0,0,1,1,0
38,57.1,2,7,3,16,15.4,1,0,0,3,0,0,0
44,59.94,1,4,2,12,9.4,1,1,0,2,1,0,1
27,66.88,2,5,3,15,14.7,0,1,1,0,1,0,0
16,87.41,1,7,2,14,7.2,0,1,0,3,1,1,0
37,71.76,2,5,2,15,23.9,1,1,0,3,1,1,1
32,80.75,1,6,3,18,14.9,0,0,0,0,1,0,0
39,60.71,1,5,3,13,1.5,1,0,0,1,1,1,1
21,64.96,3,5,2,18,20.5,1,0,0,0,1,1,0
40,64.61,3,8,4,13,19.5,1,0,0,3,0,1,0
21,88.9,3,5,3,11,28.3,1,0,1,3,0,0,1
33,66.84,2,5,3,19,9.2,0,1,0,3,1,0,0
21,78.71,2,5,2,15,11.3,0,1,0,3,1,1,0
38,91.81,1,4,4,10,22.4,0,1,0,2,1,1,1
38,76.99,1,7,2,13,20.9,1,0,1,1,0,1,0
29,83.42,1,7,2,17,8.4,0,0,1,2,1,0,0
34,31.48,3,4,3,17,24.4,0,0,0,0,0,1,0
37,58.67,3,7,3,15,21.8,1,0,1,0,1,1,0
38,83.94,1,6,2,14,16.8,1,1,0,3,0,0,0
36,99.47,1,4,4,23,37.0,0,0,0,2,0,1,1
30,83.41,1,6,3,15,24.7,0,1,0,1,0,1,1
28,86.1,1,4,3,18,26.2,1,0,0,3,0,0,1
31,66.64,1,5,3,16,22.9,1,0,0,0,0,1,0
37,74.18,1,4,3,20,15.8,1,0,0,0,0,1,1
32,69.91,2,7,3,16,13.8,0,1,1,1,1,1,0
31,61.11,2,4,2,19,26.2,0,1,0,0,0,0,0
41,79.49,2,4,2,16,37.1,1,0,1,0,1,0,1
44,67.32,1,5,2,13,25.6,1,1,1,1,0,1,0
34,87.69,1,4,3,12,21.9,1,0,2,2,1,0,1
38,79.8,2,4,2,9,11.6,1,1,0,1,1,1,1
12,66.63,3,5,2,11,17.8,0,0,0,0,0,1,0
14,55.46,3,3,3,18,15.7,0,0,0,2,1,1,0
29,82.93,3,7,2,11,17.6,1,1,0,0,0,1,0
21,67.84,3,6,2,18,14.2,0,0,1,2,1,1,0
31,83.91,2,6,2,6,15.7,1,0,0,0,1,0,0
40,68.4,3,5,2,14,13.6,1,1,0,1,1,1,1
30,66.28,3,6,3,15,12.5,0,1,0,2,1,1,0
39,77.02,1,4,2,18,21.3,1,0,0,0,1,0,1
49,71.18,1,3,2,9,22.1,1,0,1,0,1,0,1
27,68.78,2,4,3,18,11.4,0,1,0,3,0,1,0
27,65.27,2,5,2,12,16.2,0,0,2,3,1,1,0
27,82.54,1,7,2,22,8.2,0,1,2,2,1,0,0
32,65.91,3,8,2,18,23.6,1,0,0,0,0,0,0
15,54.79,3,4,3,15,11.7,0,0,1,1,0,0,0
30,53.98,3,4,3,21,16.7,0,1,2,2,1,0,0
24,82.39,2,6,2,12,1.7,0,0,0,1,1,0,0
38,72.65,2,6,3,13,20.4,1,1,2,0,0,1,1
23,59.62,3,6,2,10,15.1,1,1,1,2,0,0,0
24,58.69,3,6,2,20,17.9,1,1,0,2,1,1,0
46,68.13,1,3,1,11,13.2,1,1,0,0,0,0,1
20,71.65,3,7,2,15,17.1,0,0,2,0,0,0,0
34,72.51,1,6,1,13,17.6,1,1,0,0,0,1,0
42,73.56,1,4,3,18,7.2,1,0,0,3,1,0,1
31,76.36,1,5,3,8,10.7,0,0,1,3,1,0,0
37,87.52,2,3,2,19,12.1,1,0,0,0,1,1,1
27,51.89,2,5,3,25,15.8,1,0,0,0,0,1,0
43,78.68,1,4,3,10,15.5,0,0,2,0,0,1,1
36,88.83,1,5,3,13,23.6,0,1,1,3,0,0,1
41,83.94,1,4,3,12,25.2,1,1,0,0,1,1,1
18,75.5,3,8,3,10,14.4,0,0,0,3,0,0,0
35,62.92,3,7,2,9,28.0,1,1,1,1,0,0,0
32,63.81,2,4,2,13,12.0,0,1,1,3,1,0,0
34,74.63,2,4,2,15,18.7,1,0,0,0,1,1,1
37,39.72,3,5,3,13,23.9,1,1,2,1,1,1,0
31,86.43,1,5,3,15,11.0,1,0,0,1,1,1,1
27,104.11,3,4,3,18,29.5,1,1,0,3,0,0,1
22,67.54,3,7,4,19,9.3,0,0,1,0,0,1,0
44,57.3,1,5,2,13,-2.6,1,1,0,1,1,0,1
23,67.65,3,6,2,14,20.4,1,0,0,3,1,1,0
29,62.34,2,5,2,20,27.3,1,0,1,0,0,1,0
32,61.42,1,5,3,19,12.0,0,0,1,0,1,0,0
36,76.03,1,6,3,16,2.5,0,0,0,3,0,0,1
30,67.51,2,5,4,21,19.5,0,0,0,0,1,1,0
21,54.2,3,4,2,15,21.2,1,0,0,2,0,1,0
36,78.15,2,8,3,14,12.4,0,1,2,0,1,1,0
34,58.59,2,5,3,16,27.1,1,1,1,0,0,1,0
39,63.93,2,4,3,10,14.0,1,0,1,3,1,1,0
45,75.74,1,4,2,14,14.5,1,0,1,3,1,0,1
42,49.8,2,5,3,20,29.6,1,0,0,3,0,1,0
25,67.31,2,6,2,13,10.6,0,0,0,2,0,1,0
24,78.19,3,5,3,17,19.6,1,1,0,0,0,1,1
33,85.58,1,5,3,19,8.6,1,1,2,0,0,1,1
36,47.06,3,4,3,19,19.6,0,0,0,3,0,1,0
37,38.99,2,4,3,14,26.6,1,0,0,0,1,0,0
24,72.9,1,7,4,16,18.1,0,0,1,2,1,0,0
28,67.08,1,5,3,14,15.9,0,0,1,0,1,0,0
35,83.45,2,4,2,15,22.8,1,0,1,3,1,0,1
30,72.54,3,6,3,17,14.3,0,0,0,3,0,0,0
21,53.83,3,5,3,14,16.3,0,0,2,3,1,1,0
21,79.98,3,8,2,24,17.3,0,1,0,0,1,1,0
25,50.18,3,5,1,13,25.8,1,0,0,0,1,0,0
29,99.83,1,3,3,11,31.2,1,1,1,3,0,0,1
38,55.56,2,4,2,13,24.8,1,1,0,0,1,1,0
25,59.68,3,6,3,14,20.2,0,0,0,0,1,0,0
31,59.12,3,8,3,17,20.4,1,1,0,0,0,1,0
26,73.69,3,5,3,21,10.3,0,0,0,0,1,1,0
37,91.71,1,5,3,12,27.7,0,0,1,3,0,0,1
33,65.56,3,8,3,18,17.8,0,0,2,2,0,0,0
32,67.44,2,5,2,15,15.6,1,1,0,0,1,1,0
37,88.59,1,3,3,17,21.5,1,0,0,2,1,0,1
17,55.81,3,7,3,24,18.1,0,1,0,3,1,0,0
28,62.13,3,7,3,20,19.8,0,1,0,0,1,1,0
21,45.23,3,5,3,15,24.9,0,0,0,1,0,0,0
34,67.72,2,5,2,16,6.7,1,1,0,3,1,1,1
43,83.19,1,3,2,15,21.5,1,1,2,3,1,0,1
25,64.57,3,6,3,9,15.3,1,0,0,0,1,1,0
31,75.81,1,4,2,12,31.7,1,1,0,2,1,1,1
26,57.82,3,4,3,23,21.0,0,0,1,0,0,1,0
30,64.48,3,4,2,17,15.6,0,1,0,0,0,1,0
34,72.39,2,5,2,13,14.0,0,0,0,0,0,0,0
35,52.24,3,6,3,17,22.0,1,1,0,2,0,0,0
33,80.53,2,5,1,14,9.7,1,1,0,0,0,0,0
32,62.64,2,4,2,17,21.0,1,1,1,3,1,1,0
30,65.24,2,6,2,14,3.4,1,0,0,2,0,0,1
18,68.31,3,6,3,16,9.3,1,0,1,0,1,0,0
23,39.1,3,4,2,20,17.2,1,1,0,0,1,1,0
45,71.18,1,5,2,14,16.4,1,1,2,0,1,0,0
31,62.74,2,4,2,19,15.6,1,1,0,3,1,0,0
21,75.51,2,6,3,12,8.1,0,1,0,0,1,1,0
18,74.5,3,8,3,15,8.1,0,1,0,3,0,0,0
35,58.06,2,4,2,13,11.9,0,0,0,1,1,0,0
25,83.9,1,5,2,10,14.2,0,0,1,0,0,0,0
42,47.01,2,5,4,14,24.5,0,0,1,0,1,1,0
46,101.65,1,7,3,16,13.8,1,0,1,1,1,1,0
31,74.17,3,3,2,11,20.8,1,1,0,3,1,1,1
18,65.15,3,4,2,8,20.8,0,0,0,1,0,1,0
33,77.33,1,4,2,17,10.2,0,1,1,1,0,0,0
39,88.57,1,4,3,10,21.4,1,1,1,2,1,1,1
35,81.54,2,5,3,21,9.9,1,1,0,3,0,1,1
37,89.26,1,4,4,15,23.9,1,1,2,3,1,0,1
27,40.13,3,4,3,18,19.5,0,0,1,3,0,1,0
17,58.96,3,6,3,21,14.5,0,1,0,3,0,1,0
36,83.64,1,3,3,11,14.5,1,0,0,2,1,0,1
31,57.52,2,5,3,21,17.6,0,1,0,0,1,0,0
29,58.09,1,5,3,17,23.1,1,1,0,0,1,1,0
43,69.17,1,3,2,10,10.9,1,0,0,0,0,0,1
39,53.0,3,4,1,17,21.6,0,0,1,0,1,1,0
30,59.29,3,6,3,14,19.8,1,1,0,0,1,0,0
38,101.03,1,2,3,12,30.2,1,0,1,2,0,0,1
26,63.49,3,7,3,9,9.7,0,0,0,0,0,1,0
33,57.64,3,8,2,21,25.8,1,0,0,2,0,1,0
16,80.47,2,5,3,16,10.2,0,1,0,1,1,1,0
28,58.67,2,5,3,18,18.9,0,1,1,0,1,0,0
34,91.28,3,4,3,14,3.7,1,1,1,2,0,1,1
36,83.91,2,7,2,17,13.1,1,1,1,2,1,0,0
34,78.72,1,4,2,17,27.2,1,0,1,2,0,1,1
32,65.94,3,7,3,19,15.7,0,0,0,3,0,0,0
36,93.38,1,3,3,17,30.9,1,1,0,3,0,1,1
48,60.36,2,4,1,19,11.0,1,1,0,0,1,0,1
26,67.6,3,6,2,17,19.6,1,1,0,0,1,0,0
33,45.72,3,4,2,10,23.1,1,1,1,2,1,1,0
29,55.39,3,5,3,14,19.8,0,0,0,3,1,1,0
34,73.47,1,6,3,14,23.9,0,0,1,0,1,0,1
24,69.47,2,4,2,19,17.8,0,1,0,3,0,0,0
23,79.03,2,8,3,19,12.1,0,1,0,2,1,1,0
21,70.96,2,6,4,15,6.3,0,1,2,0,1,0,0
40,69.15,1,5,2,13,15.2,1,0,2,3,1,1,1
36,68.82,2,4,1,14,22.2,0,1,0,0,0,0,0
19,60.41,3,5,3,15,14.1,0,1,1,3,1,1,0
34,87.05,1,5,2,10,17.5,0,1,0,3,0,1,0
29,56.32,2,4,3,12,16.1,0,1,1,2,0,1,0
16,60.45,3,6,3,15,14.3,0,0,1,0,1,1,0
34,70.39,3,4,2,12,16.7,0,1,0,0,1,1,0
21,70.19,3,4,2,21,19.1,0,0,0,3,1,0,0
32,75.15,3,8,2,20,14.8,1,1,1,2,1,1,0
34,53.83,3,4,3,16,13.7,0,1,0,0,1,0,0
38,83.23,2,6,3,12,16.9,0,1,0,1,1,0,0
31,67.08,2,6,3,15,5.2,0,0,1,0,0,1,0
37,57.62,3,4,2,16,22.6,1,0,0,0,1,1,0
40,71.62,1,3,1,12,15.1,1,0,1,2,0,0,1
34,68.36,3,7,3,18,23.1,1,1,1,3,1,0,0
30,80.37,2,4,3,15,19.1,1,1,1,0,1,1,1
40,78.5,1,6,2,18,9.8,0,0,1,0,1,0,0
16,84.39,2,6,3,14,1.6,0,1,2,1,1,0,0
20,65.87,3,4,2,15,6.6,0,0,0,3,1,0,0
39,77.37,1,2,3,3,16.8,1,1,0,3,0,0,1
28,66.66,3,7,3,19,21.8,1,0,0,2,0,1,0
35,59.51,3,4,1,12,31.5,1,0,1,0,0,0,0
24,75.92,3,6,3,13,15.4,0,1,0,3,0,0,0
29,44.15,3,4,3,11,22.4,0,1,1,0,1,1,0
32,82.56,1,8,3,14,9.2,0,1,0,0,0,1,0
41,82.69,2,4,3,19,18.2,1,1,1,0,1,0,1
41,66.28,1,5,4,13,20.0,0,1,1,3,1,1,0
33,91.4,2,5,3,17,23.2,1,0,1,0,1,1,1
37,81.06,1,4,2,10,12.4,0,1,0,0,0,1,0
26,78.83,2,6,2,17,10.3,0,1,2,3,0,1,0
35,65.49,1,5,2,22,20.4,1,1,0,0,1,1,0
34,66.01,1,4,2,19,15.9,1,1,2,0,0,1,1
35,85.19,2,7,3,20,15.6,0,1,0,0,0,1,0
28,93.32,3,5,3,16,16.1,1,0,0,1,0,0,1
34,67.71,2,3,2,16,18.8,0,1,1,0,0,1,0
29,60.52,2,4,3,20,23.2,0,1,0,0,0,0,0
38,99.71,1,4,3,14,26.0,0,0,0,2,0,1,1
42,85.8,2,5,2,12,17.4,1,1,2,3,0,1,1
38,74.64,1,6,3,16,18.9,0,1,0,3,0,0,0
36,71.41,2,6,2,20,2.2,1,0,1,3,1,0,1
25,66.53,2,5,3,14,23.3,0,1,0,0,1,1,0
31,70.33,2,8,3,16,25.5,1,1,2,2,1,1,0
33,83.64,1,5,3,16,17.1,1,1,0,0,0,0,1
19,50.01,3,4,2,9,22.9,0,1,2,0,1,0,0
40,88.7,1,5,3,14,22.0,1,1,0,3,0,0,1
32,52.62,3,5,3,21,21.8,1,0,2,0,0,1,0
35,77.09,1,6,2,16,12.5,1,1,0,3,1,1,0
32,91.46,1,2,3,12,34.3,1,0,0,0,1,1,1
41,52.24,2,5,3,13,24.9,1,1,1,3,0,0,0
36,70.2,1,6,4,20,16.3,0,0,0,0,0,0,0
26,83.87,1,6,4,14,17.7,1,0,0,1,0,1,0
34,80.98,3,6,2,20,4.9,1,0,0,0,0,0,0
26,58.85,2,5,3,17,21.7,1,0,1,2,1,1,0
37,86.06,1,4,3,18,18.7,1,1,0,0,0,1,1
22,91.49,2,4,3,24,22.6,1,0,1,3,0,1,1
30,59.81,3,6,2,15,24.2,1,1,0,1,0,1,0
38,79.57,1,6,3,16,18.9,0,1,0,2,0,0,0
37,84.63,1,4,4,18,21.6,0,0,0,2,1,1,1
30,88.2,2,5,4,16,17.5,1,1,1,0,1,1,1
24,59.29,3,5,2,11,20.6,0,1,0,0,1,0,0
19,70.74,3,6,2,10,10.7,0,0,0,0,0,1,0
18,67.9,3,5,3,17,7.9,0,1,1,0,0,0,0
32,85.11,1,5,4,18,19.1,1,0,0,0,0,0,1
24,73.73,3,6,2,22,12.2,0,0,0,1,0,1,0
20,57.69,3,5,3,20,13.1,0,0,1,0,1,1,0
39,71.08,1,5,3,23,15.6,0,0,2,3,1,1,0
32,95.87,1,3,3,11,46.3,1,0,1,3,0,0,1
44,65.44,2,3,1,14,17.8,1,1,1,0,0,1,1
27,61.28,2,5,3,18,25.1,0,0,0,3,0,1,0
43,74.03,2,3,2,16,16.8,1,1,1,1,0,1,1
38,84.53,1,4,2,17,6.4,0,1,2,3,0,0,0
31,46.51,3,5,3,20,25.9,0,0,0,0,0,1,0
43,80.44,1,3,3,13,29.9,1,1,0,2,0,0,1
42,89.48,2,7,2,13,14.3,0,1,1,0,0,1,1
27,65.01,3,8,3,12,20.5,0,0,0,2,1,0,0
37,65.39,2,6,2,13,-1.9,1,1,1,0,0,1,1
42,64.99,1,5,2,12,6.1,1,1,0,1,0,1,1
33,87.85,1,5,3,12,21.8,0,0,0,0,1,0,1
31,64.88,3,6,3,22,18.2,0,1,0,0,0,0,0
33,79.11,3,7,2,20,19.9,1,0,0,1,0,0,1
44,85.41,1,4,3,13,19.5,0,1,1,0,0,0,1
33,69.2,1,4,3,13,8.4,1,0,2,3,1,0,1
24,42.83,3,5,3,19,18.6,0,0,0,3,0,1,0
25,64.41,2,5,2,9,22.8,0,1,0,3,1,0,0
30,73.39,2,3,2,12,9.5,0,0,0,3,0,0,0
32,72.13,2,6,2,12,12.8,1,0,0,3,1,0,1
30,59.44,3,5,2,19,14.6,0,1,0,0,0,1,0
34,79.93,1,4,2,20,12.4,1,0,1,0,0,0,1
27,56.66,3,5,2,20,25.3,1,0,0,0,0,1,0
28,68.96,2,5,3,16,16.0,0,0,1,0,0,0,0
34,63.16,3,5,3,19,14.3,0,1,1,0,0,1,0
43,81.63,1,4,2,12,23.7,1,1,0,3,0,1,1
38,67.05,2,3,2,19,5.7,1,1,0,2,0,0,1
18,59.68,2,4,2,16,10.2,0,1,0,3,0,1,0
21,67.52,3,7,2,17,18.9,0,0,0,1,1,1,0
28,65.57,2,5,2,15,15.1,1,0,2,2,0,0,0
33,48.54,2,5,3,19,15.6,0,1,0,3,0,1,0
33,80.96,1,7,3,10,14.9,1,0,0,1,1,1,0
33,74.91,2,7,4,13,13.0,0,1,0,3,1,1,0
23,82.41,1,6,2,13,6.5,0,1,1,0,1,0,0
31,69.36,1,5,2,6,13.1,1,0,0,2,1,1,1
13,78.76,3,5,3,9,12.7,0,0,1,1,0,0,0
27,81.97,3,7,2,14,14.6,0,1,0,0,0,0,0
45,43.31,2,2,2,22,26.5,1,0,1,3,0,0,0
35,72.87,1,5,3,12,19.7,1,0,0,2,0,1,1
17,76.61,2,5,2,17,22.0,1,0,1,1,1,1,0
23,72.33,2,6,3,17,10.8,0,1,0,3,1,0,0
35,95.8,2,5,3,14,14.9,0,1,0,0,1,1,1
23,52.79,3,7,3,20,24.1,1,0,1,3,0,0,0
42,56.5,2,7,3,16,27.5,1,1,1,2,0,1,0
21,65.87,3,5,2,13,13.5,1,0,0,1,1,0,0
39,75.55,2,4,3,11,27.2,1,1,2,0,1,0,1
26,67.63,2,4,2,23,10.3,0,1,0,1,0,0,0
25,54.11,3,5,3,21,14.8,0,1,1,3,1,0,0
47,80.56,1,5,2,11,25.0,1,1,0,3,0,0,0
19,69.29,2,4,3,15,14.3,0,0,2,1,1,0,0
31,68.89,2,6,2,14,10.3,0,1,0,0,1,1,0
23,37.91,3,5,4,20,25.6,1,1,1,2,1,0,0
42,66.37,1,3,2,13,26.4,1,0,0,2,1,0,0
42,56.7,3,7,2,15,30.1,1,0,0,3,1,0,0
46,78.99,1,5,1,18,25.2,1,0,0,3,1,0,0
39,79.81,1,3,3,11,16.6,1,0,0,3,0,0,1
37,90.15,1,5,3,18,25.0,0,1,0,2,0,1,1
24,57.9,3,5,3,12,17.8,0,0,0,2,0,0,0
13,59.4,3,5,2,14,11.1,0,0,1,3,0,1,0
25,84.86,2,7,3,11,12.1,1,1,1,1,0,1,0
16,53.95,3,4,3,15,18.5,0,1,2,0,1,0,0
34,74.29,1,4,3,20,20.5,1,1,0,0,0,0,1
34,59.24,3,5,3,16,13.7,0,0,1,3,1,0,0
32,61.56,2,5,2,14,16.2,1,0,1,3,0,0,0
40,81.23,2,5,2,17,23.3,1,1,2,0,1,0,1
36,76.39,1,6,4,19,9.5,0,1,0,0,0,1,1
27,49.18,3,4,2,13,21.4,1,0,0,2,1,0,0
29,62.88,3,6,3,20,23.2,0,1,2,0,1,0,0
25,82.18,2,7,3,16,11.5,0,1,0,2,1,0,0
41,78.71,1,5,3,17,15.3,0,0,2,3,0,1,1
22,52.84,3,5,3,17,12.4,0,1,2,3,1,1,0
30,89.79,1,4,3,16,31.1,1,0,0,2,1,1,1
23,58.1,3,8,3,17,15.2,0,0,2,3,1,1,0
35,71.41,2,5,2,20,16.5,1,0,0,3,1,1,0
40,93.6,1,4,3,17,10.1,0,0,0,2,0,0,1
35,75.89,3,4,2,14,27.8,1,0,0,1,0,1,1
17,69.83,3,6,2,21,8.2,0,1,0,2,1,0,0
19,46.85,3,4,2,19,19.1,0,1,0,3,0,1,0
32,65.25,3,8,3,14,20.9,1,0,0,3,1,1,0
25,62.32,3,6,3,11,17.3,0,0,0,3,0,0,0
35,79.93,2,7,3,15,16.2,1,1,0,3,1,0,0
34,64.45,3,5,2,16,23.8,1,0,1,2,0,1,0
26,58.47,3,7,2,18,26.7,1,0,0,0,0,1,0
41,67.34,2,4,2,19,-12.7,1,0,1,2,0,1,1
46,68.08,1,4,2,15,6.0,1,1,1,0,1,0,1
41,55.43,1,3,2,14,-7.5,1,0,1,1,0,0,1
19,72.25,3,7,3,14,19.3,1,0,1,3,0,0,0
30,66.21,3,5,2,15,17.3,1,1,0,3,1,1,0
23,70.74,2,6,3,16,8.9,0,0,0,2,0,1,0
41,76.21,1,4,3,7,22.5,1,0,0,2,0,1,1
27,84.12,2,9,3,16,5.6,0,1,2,2,1,0,0
29,67.28,1,5,3,18,12.9,0,0,1,2,0,0,0
29,75.49,2,5,3,13,23.1,0,0,0,0,1,0,0
27,73.85,3,5,3,24,11.5,0,0,1,0,1,0,0
34,87.62,1,5,3,12,18.8,0,1,0,2,0,0,1
27,74.66,2,4,3,12,12.9,0,0,0,2,0,0,0
46,64.99,2,6,2,22,27.4,1,1,1,3,1,0,0
38,67.55,1,4,2,12,-2.7,1,0,0,3,0,1,1
28,87.24,2,7,2,13,4.9,0,0,1,0,0,1,0
34,88.34,1,5,3,18,14.6,0,1,1,1,0,1,1
42,54.06,1,5,1,16,12.7,1,1,1,2,0,1,1
36,81.13,2,9,4,10,22.3,0,1,1,0,1,0,0
49,69.84,1,4,2,12,21.5,1,0,1,3,1,1,1
15,73.63,3,7,3,16,17.9,0,0,0,0,0,1,0
29,81.55,2,8,3,21,16.2,0,0,1,0,1,0,0
36,68.65,2,5,2,12,17.4,0,1,1,3,1,0,0
25,56.8,3,5,3,16,15.3,0,1,0,3,0,1,0
34,56.43,2,5,2,19,20.5,1,0,0,3,0,1,0
42,77.31,2,5,3,15,20.8,1,0,0,0,0,0,1
38,52.45,2,5,3,10,31.6,1,0,0,0,0,0,0
32,83.2,1,5,3,16,18.3,1,1,1,0,0,1,1
39,77.13,1,4,3,14,16.5,1,1,0,3,0,0,1
37,62.79,3,5,2,14,20.8,0,1,0,1,0,1,0
43,69.96,1,1,2,19,25.9,1,0,1,0,1,1,1
20,67.52,2,5,3,10,17.0,0,1,0,1,0,1,0
24,78.69,1,8,3,20,16.4,0,1,1,0,1,1,0
36,72.94,2,7,2,21,17.2,1,0,0,0,1,0,1
29,73.08,2,5,3,16,17.0,0,0,0,0,1,0,0
33,55.45,2,5,3,17,21.7,1,0,1,1,0,1,0
50,62.85,3,7,3,13,20.8,1,1,2,3,0,0,0
38,75.14,1,1,3,17,4.0,1,1,1,1,0,0,1
44,66.73,2,7,3,20,29.6,1,1,0,0,1,0,0
25,89.86,2,3,3,20,24.8,1,0,1,3,0,1,1
30,84.58,1,5,3,16,10.1,1,0,0,0,0,0,1
25,64.92,2,7,4,11,19.2,0,1,2,3,0,0,0
36,76.42,1,4,2,20,8.1,1,1,1,1,1,1,1
40,70.32,1,4,2,21,11.7,1,0,1,0,1,0,1
35,75.05,2,6,3,19,8.7,0,0,0,3,0,1,0
34,79.14,1,2,2,18,12.9,1,1,0,3,0,0,1
36,87.24,1,5,3,13,18.8,0,0,0,0,0,1,1
37,73.24,2,6,2,22,19.6,1,0,1,0,1,1,0
24,55.07,2,4,3,12,19.1,0,0,1,3,1,0,0
29,69.61,2,5,2,21,11.8,0,0,2,0,1,1,0
25,55.05,2,2,3,18,19.8,0,1,1,0,1,0,0
33,73.0,2,5,3,10,17.0,0,1,0,2,0,0,0
45,73.06,1,2,3,16,18.9,1,1,0,0,0,1,1
15,52.18,3,5,3,16,23.3,0,1,1,3,0,0,0
35,93.48,2,2,3,18,31.0,1,0,1,0,1,1,1
